0 [0.01, 0.01]
1500 [3.917640e-03, 2.216234e-02]
1510 [3.918227e-03, 2.215885e-02]
1520 [3.920762e-03, 2.215824e-02]
1530 [3.930060e-03, 2.216974e-02]
1540 [3.940539e-03, 2.218296e-02]
1550 [3.983052e-03, 2.206605e-02]
1560 [2.833777e-03, 2.017348e-02]
1570 [3.251318e-03, 2.074346e-02]
1580 [3.876359e-03, 2.199887e-02]
1590 [4.130259e-03, 2.242678e-02]
1600 [3.991329e-03, 2.215201e-02]
1610 [3.919800e-03, 2.199623e-02]
1620 [3.943766e-03, 2.206130e-02]
1630 [3.998330e-03, 2.217257e-02]
1640 [4.009874e-03, 2.219969e-02]
1650 [4.007193e-03, 2.219070e-02]
1660 [4.011322e-03, 2.219298e-02]
1670 [4.026073e-03, 2.221228e-02]
1680 [4.042660e-03, 2.222499e-02]
1690 [3.998761e-03, 2.119164e-02]
1700 [3.218180e-03, 2.023852e-02]
1710 [3.724764e-03, 2.146077e-02]
1720 [4.166514e-03, 2.240741e-02]
1730 [4.088517e-03, 2.228675e-02]
1740 [3.963150e-03, 2.202590e-02]
1750 [3.978457e-03, 2.204468e-02]
1760 [4.060278e-03, 2.218729e-02]
1770 [4.084203e-03, 2.223712e-02]
1780 [4.073993e-03, 2.222294e-02]
1790 [4.065899e-03, 2.221864e-02]
1800 [4.085874e-03, 2.219074e-02]
1810 [3.044910e-03, 2.069341e-02]
1820 [3.368492e-03, 2.091614e-02]
1830 [4.027091e-03, 2.204589e-02]
1840 [4.202804e-03, 2.239791e-02]
1850 [4.027661e-03, 2.211674e-02]
1860 [3.950350e-03, 2.204547e-02]
1870 [3.976048e-03, 2.216454e-02]
1880 [3.998889e-03, 2.224303e-02]
1890 [3.969155e-03, 2.220541e-02]
1900 [3.742668e-03, 2.160841e-02]
1910 [3.517049e-03, 2.140170e-02]
1920 [3.825586e-03, 2.202158e-02]
1930 [3.993551e-03, 2.230697e-02]
1940 [3.827251e-03, 2.201904e-02]
1950 [3.658318e-03, 2.171503e-02]
1960 [3.763638e-03, 2.203381e-02]
1970 [3.774135e-03, 2.210049e-02]
1980 [3.524592e-03, 2.166378e-02]
1990 [3.641076e-03, 2.192153e-02]
2000 [3.712212e-03, 2.212496e-02]
2010 [3.465718e-03, 2.171374e-02]
2020 [3.529844e-03, 2.186741e-02]
2030 [3.641570e-03, 2.214934e-02]
2040 [3.313866e-03, 2.153438e-02]
2050 [3.299133e-03, 2.158231e-02]
2060 [3.594660e-03, 2.209374e-02]
2070 [3.500492e-03, 2.205598e-02]
2080 [3.396593e-03, 2.187741e-02]
2090 [3.418782e-03, 2.203287e-02]
2100 [3.450090e-03, 2.215956e-02]
2110 [3.361337e-03, 2.190085e-02]
2120 [2.914534e-03, 2.065143e-02]
2130 [3.091071e-03, 2.151410e-02]
2140 [3.436946e-03, 2.222868e-02]
2150 [3.280374e-03, 2.201577e-02]
2160 [3.218822e-03, 2.189263e-02]
2170 [3.229495e-03, 2.201631e-02]
2180 [3.236607e-03, 2.209730e-02]
2190 [3.177324e-03, 2.203252e-02]
2200 [3.065712e-03, 2.179319e-02]
2210 [3.014425e-03, 2.165385e-02]
2220 [3.087593e-03, 2.195042e-02]
2230 [3.128322e-03, 2.211235e-02]
2240 [2.806344e-03, 2.125519e-02]
2250 [2.616305e-03, 2.096816e-02]
2260 [2.957821e-03, 2.188740e-02]
2270 [3.098419e-03, 2.204531e-02]
2280 [2.910466e-03, 2.180551e-02]
2290 [2.939715e-03, 2.189085e-02]
2300 [2.972696e-03, 2.200232e-02]
2310 [2.924329e-03, 2.196374e-02]
2320 [2.879932e-03, 2.183223e-02]
2330 [2.733449e-03, 2.155660e-02]
2340 [2.810888e-03, 2.181717e-02]
2350 [2.794787e-03, 2.181209e-02]
2360 [2.729951e-03, 2.167890e-02]
2370 [2.812537e-03, 2.189646e-02]
2380 [2.748959e-03, 2.152404e-02]
2390 [2.412903e-03, 2.098664e-02]
2400 [2.754165e-03, 2.177808e-02]
2410 [2.782068e-03, 2.191802e-02]
2420 [2.682583e-03, 2.175622e-02]
2430 [2.686798e-03, 2.182013e-02]
2440 [2.690377e-03, 2.187113e-02]
2450 [2.628665e-03, 2.175199e-02]
2460 [2.471032e-03, 2.135344e-02]
2470 [2.589446e-03, 2.167426e-02]
2480 [2.658461e-03, 2.192398e-02]
2490 [2.400346e-03, 2.123631e-02]
2500 [2.354872e-03, 2.114004e-02]
2510 [2.614972e-03, 2.185428e-02]
2520 [2.543415e-03, 2.163760e-02]
2530 [2.472239e-03, 2.151761e-02]
2540 [2.566058e-03, 2.179383e-02]
2550 [2.536730e-03, 2.175959e-02]
2560 [2.488184e-03, 2.167398e-02]
