0 [0.001, 0.001]
10 [-4.862276e-04, -1.173503e-03]
20 [-4.324863e-04, -1.423899e-03]
30 [-2.597325e-04, -1.030805e-03]
40 [-1.318092e-04, -4.388560e-04]
50 [9.882884e-05, 4.574936e-04]
60 [1.201527e-05, 8.965104e-04]
70 [1.843436e-04, 8.975137e-04]
80 [1.324889e-04, 9.083006e-04]
90 [1.830862e-04, 9.618789e-04]
100 [1.432123e-04, 9.649614e-04]
110 [1.540509e-04, 9.485358e-04]
120 [1.569827e-04, 9.583253e-04]
130 [1.542594e-04, 9.556827e-04]
140 [1.503530e-04, 9.575730e-04]
150 [1.521659e-04, 9.583975e-04]
160 [1.526389e-04, 9.609346e-04]
170 [1.516638e-04, 9.634121e-04]
180 [1.505871e-04, 9.668728e-04]
190 [1.478492e-04, 9.707517e-04]
200 [1.436940e-04, 9.771867e-04]
210 [1.365467e-04, 9.898318e-04]
220 [1.240064e-04, 1.014594e-03]
230 [1.027832e-04, 1.054096e-03]
240 [7.810022e-05, 1.106202e-03]
250 [6.304242e-05, 1.142140e-03]
260 [5.544960e-05, 1.155473e-03]
270 [5.651894e-05, 1.168647e-03]
280 [5.564978e-05, 1.187553e-03]
290 [4.489551e-05, 1.190861e-03]
300 [4.406907e-05, 1.195888e-03]
310 [4.906602e-05, 1.198457e-03]
320 [4.422434e-05, 1.207553e-03]
330 [4.737806e-05, 1.216140e-03]
340 [4.416500e-05, 1.227173e-03]
350 [4.128371e-05, 1.238822e-03]
360 [6.185228e-05, 1.237667e-03]
370 [5.932145e-05, 1.251942e-03]
380 [6.203778e-05, 1.260412e-03]
390 [5.757099e-05, 1.268851e-03]
400 [5.242623e-05, 1.285044e-03]
410 [4.385322e-05, 1.296943e-03]
420 [2.023455e-05, 1.320141e-03]
430 [8.168600e-05, 1.296958e-03]
440 [2.221135e-05, 1.337924e-03]
450 [6.896295e-05, 1.322805e-03]
460 [4.523055e-05, 1.342378e-03]
470 [-1.672503e-05, 1.380096e-03]
480 [1.071760e-04, 1.322892e-03]
490 [8.958471e-05, 1.345916e-03]
500 [4.478559e-05, 1.366837e-03]
510 [4.131328e-05, 1.376647e-03]
520 [5.800431e-05, 1.373695e-03]
530 [6.328291e-05, 1.376382e-03]
540 [9.169430e-05, 1.366750e-03]
550 [4.949486e-05, 1.384277e-03]
560 [9.135435e-05, 1.375557e-03]
570 [3.550008e-05, 1.406352e-03]
580 [6.446267e-05, 1.398123e-03]
590 [4.278096e-05, 1.413623e-03]
600 [4.892955e-05, 1.415717e-03]
610 [3.420751e-05, 1.429017e-03]
620 [-2.310236e-05, 1.458111e-03]
630 [1.265260e-06, 1.458996e-03]
640 [4.298889e-05, 1.431205e-03]
650 [7.176308e-05, 1.419245e-03]
660 [6.173638e-05, 1.433074e-03]
670 [5.095321e-05, 1.444417e-03]
680 [6.384079e-05, 1.442356e-03]
690 [6.299379e-05, 1.447481e-03]
700 [6.242732e-05, 1.452536e-03]
710 [8.370120e-05, 1.444349e-03]
720 [1.319362e-04, 1.399743e-03]
730 [9.857101e-05, 1.446632e-03]
740 [7.500472e-05, 1.454352e-03]
750 [6.694887e-05, 1.466917e-03]
760 [7.168601e-05, 1.467326e-03]
770 [7.072216e-05, 1.476414e-03]
780 [6.264667e-05, 1.486144e-03]
790 [6.517302e-05, 1.490238e-03]
800 [6.612198e-05, 1.494272e-03]
810 [6.801849e-05, 1.498155e-03]
820 [7.885875e-05, 1.492168e-03]
830 [1.032239e-04, 1.468092e-03]
840 [5.659945e-05, 1.520127e-03]
850 [3.882666e-05, 1.537430e-03]
860 [2.522022e-05, 1.542415e-03]
870 [7.176225e-05, 1.520175e-03]
880 [1.148974e-04, 1.496572e-03]
890 [9.723490e-05, 1.505647e-03]
900 [5.129832e-05, 1.548586e-03]
910 [9.318645e-05, 1.524212e-03]
920 [5.827160e-05, 1.554229e-03]
930 [5.140563e-05, 1.556293e-03]
940 [4.664512e-05, 1.571805e-03]
950 [1.673194e-06, 1.599423e-03]
960 [1.177361e-04, 1.528255e-03]
970 [4.818822e-05, 1.582465e-03]
980 [7.847322e-05, 1.563842e-03]
990 [9.739372e-05, 1.553988e-03]
1000 [1.284652e-04, 1.534087e-03]
1010 [6.955895e-05, 1.582969e-03]
1020 [4.065184e-05, 1.604854e-03]
1030 [7.973483e-05, 1.584169e-03]
1040 [7.074206e-05, 1.586256e-03]
1050 [6.910664e-05, 1.597027e-03]
1060 [5.785558e-06, 1.637112e-03]
1070 [1.418680e-04, 1.536180e-03]
1080 [5.516001e-05, 1.609487e-03]
1090 [5.252154e-05, 1.622717e-03]
1100 [9.420539e-05, 1.590626e-03]
1110 [6.632171e-05, 1.619646e-03]
1120 [8.401147e-05, 1.609174e-03]
1130 [7.636966e-05, 1.618201e-03]
1140 [7.382205e-05, 1.619486e-03]
1150 [8.767605e-05, 1.614277e-03]
1160 [1.674283e-04, 1.543681e-03]
1170 [1.828314e-05, 1.672027e-03]
1180 [5.691944e-05, 1.633315e-03]
1190 [1.016400e-04, 1.611400e-03]
1200 [6.586740e-05, 1.644744e-03]
1210 [8.339447e-05, 1.629794e-03]
1220 [7.175683e-05, 1.645533e-03]
1230 [7.686110e-05, 1.644493e-03]
1240 [6.300573e-05, 1.648562e-03]
1250 [2.526165e-05, 1.682634e-03]
1260 [7.809979e-05, 1.641723e-03]
1270 [9.007296e-05, 1.626498e-03]
1280 [5.120788e-05, 1.675881e-03]
1290 [7.227973e-05, 1.658946e-03]
1300 [9.133572e-05, 1.643066e-03]
1310 [1.391200e-04, 1.605917e-03]
1320 [4.306318e-05, 1.684935e-03]
1330 [1.123973e-04, 1.624368e-03]
1340 [5.496342e-05, 1.684156e-03]
1350 [8.835983e-05, 1.658353e-03]
1360 [8.399142e-05, 1.661126e-03]
1370 [6.616909e-05, 1.676428e-03]
1380 [5.684874e-05, 1.687766e-03]
1390 [2.840320e-05, 1.701207e-03]
