0 [0.001, 0.01]
1500 [8.218123e-05, 1.852429e-02]
1510 [6.289524e-05, 1.854824e-02]
1520 [4.577135e-05, 1.845621e-02]
1530 [1.318667e-04, 1.840728e-02]
1540 [7.557157e-05, 1.857826e-02]
1550 [1.023749e-04, 1.855681e-02]
1560 [1.115436e-04, 1.855987e-02]
1570 [1.098915e-04, 1.857527e-02]
1580 [1.264564e-04, 1.851674e-02]
1590 [1.349567e-04, 1.842699e-02]
1600 [8.533026e-05, 1.850005e-02]
1610 [9.045396e-05, 1.861586e-02]
1620 [9.191147e-05, 1.865374e-02]
1630 [8.070860e-05, 1.864891e-02]
1640 [5.612961e-05, 1.854517e-02]
1650 [5.918999e-05, 1.849598e-02]
1660 [1.278412e-04, 1.856053e-02]
1670 [1.078762e-04, 1.865708e-02]
1680 [9.479528e-05, 1.868346e-02]
1690 [7.862253e-05, 1.871200e-02]
1700 [2.151667e-05, 1.862952e-02]
1710 [1.460495e-04, 1.856052e-02]
1720 [7.027265e-05, 1.869844e-02]
1730 [1.165972e-04, 1.868843e-02]
1740 [9.734393e-05, 1.874913e-02]
1750 [9.387387e-05, 1.874597e-02]
1760 [9.730717e-05, 1.873647e-02]
1770 [7.894545e-05, 1.871246e-02]
1780 [5.207017e-05, 1.869990e-02]
1790 [1.213001e-04, 1.865473e-02]
1800 [1.122627e-04, 1.874804e-02]
1810 [1.209676e-04, 1.875808e-02]
1820 [1.288048e-04, 1.872635e-02]
1830 [1.489402e-04, 1.863820e-02]
1840 [9.777760e-05, 1.866605e-02]
1850 [8.643362e-05, 1.876278e-02]
1860 [9.503932e-05, 1.880820e-02]
1870 [9.175096e-05, 1.880984e-02]
1880 [8.133265e-05, 1.881077e-02]
1890 [3.117556e-05, 1.874318e-02]
1900 [1.358251e-04, 1.866739e-02]
1910 [8.728210e-05, 1.877878e-02]
1920 [9.804560e-05, 1.883232e-02]
1930 [1.138424e-04, 1.884991e-02]
1940 [1.106155e-04, 1.884175e-02]
1950 [1.160510e-04, 1.880705e-02]
1960 [1.472618e-04, 1.871313e-02]
1970 [1.296371e-04, 1.868931e-02]
1980 [8.194607e-05, 1.881858e-02]
1990 [1.000851e-04, 1.882135e-02]
2000 [1.041952e-04, 1.887908e-02]
2010 [1.210858e-04, 1.887747e-02]
2020 [1.577239e-04, 1.869847e-02]
2030 [1.052847e-04, 1.873154e-02]
2040 [9.225129e-05, 1.880641e-02]
2050 [1.140331e-04, 1.889199e-02]
2060 [1.137257e-04, 1.891408e-02]
2070 [1.100611e-04, 1.891102e-02]
2080 [1.131761e-04, 1.891653e-02]
2090 [1.591553e-04, 1.884954e-02]
2100 [9.699583e-05, 1.868381e-02]
2110 [1.322731e-04, 1.867786e-02]
2120 [8.736974e-05, 1.895037e-02]
2130 [1.138727e-04, 1.895215e-02]
2140 [1.036448e-04, 1.895080e-02]
2150 [1.103010e-04, 1.895434e-02]
2160 [1.101900e-04, 1.891045e-02]
2170 [1.117845e-04, 1.885298e-02]
2180 [9.981636e-05, 1.889413e-02]
2190 [1.105264e-04, 1.898100e-02]
2200 [1.096349e-04, 1.900357e-02]
2210 [1.106168e-04, 1.897860e-02]
2220 [1.019677e-04, 1.889502e-02]
2230 [3.383851e-05, 1.895067e-02]
2240 [1.217816e-04, 1.877830e-02]
2250 [9.694072e-05, 1.887271e-02]
2260 [1.109346e-04, 1.900306e-02]
2270 [1.101030e-04, 1.902540e-02]
2280 [1.072240e-04, 1.900024e-02]
2290 [1.118393e-04, 1.901424e-02]
2300 [1.041597e-04, 1.903923e-02]
2310 [7.974649e-05, 1.901771e-02]
2320 [6.974244e-05, 1.884775e-02]
2330 [1.387350e-04, 1.883759e-02]
2340 [9.493913e-05, 1.906718e-02]
2350 [9.967176e-05, 1.906823e-02]
2360 [1.121165e-04, 1.902783e-02]
2370 [1.096194e-04, 1.902495e-02]
2380 [9.830220e-05, 1.901806e-02]
2390 [3.800102e-05, 1.907288e-02]
2400 [1.307188e-04, 1.886993e-02]
2410 [7.588796e-05, 1.894332e-02]
2420 [1.339015e-04, 1.905274e-02]
2430 [9.435431e-05, 1.912395e-02]
2440 [1.196825e-04, 1.906652e-02]
2450 [1.062489e-04, 1.908949e-02]
2460 [1.132353e-04, 1.907838e-02]
2470 [1.225413e-04, 1.887886e-02]
2480 [1.022128e-04, 1.898511e-02]
2490 [1.066739e-04, 1.909307e-02]
2500 [1.054624e-04, 1.911726e-02]
2510 [7.114604e-05, 1.894266e-02]
2520 [1.125114e-04, 1.882396e-02]
2530 [1.117258e-04, 1.887778e-02]
2540 [8.623787e-05, 1.911146e-02]
2550 [1.021384e-04, 1.915049e-02]
2560 [1.147779e-04, 1.909596e-02]
